action,project,model file name,table name,column name,verbose name,verbose name plural,data type,min length,max length,decimal place,definition,default value,nullable,blank,unique key,choice options,model form,foreign key table,foreign key column,foreign key on delete,auto save foreign key,remark
,test_ledger,GL map,map_bu,bu,business unit,,varchar,,20,,business unit,,,,Y,,,,,,,
,test_ledger,GL map,map_bu,descr,description,,varchar,,200,,description of the GL account,,Y,Y,,,,,,,,
,test_ledger,GL map,map_ledger,ledger,ledger,,varchar,,20,,ledger book,,,,Y,,,,,,,
,test_ledger,GL map,map_ledger,descr,description,,varchar,,200,,description of the GL account,,Y,Y,,,,,,,,
,test_ledger,GL map,map_ledger,lvl1_cat,level 1 category,,varchar,,200,,user defined GL catagery 1,,Y,Y,,,,,,,,
,test_ledger,GL map,map_ledger,lvl2_cat,level 2 category,,varchar,,200,,user defined GL catagery 2,,Y,Y,,,,,,,,
,test_ledger,GL map,map_ledger,lvl3_cat,level 3 category,,varchar,,200,,user defined GL catagery 3,,Y,Y,,,,,,,,
,test_ledger,GL map,map_ledger,lvl4_cat,level 4 category,,varchar,,200,,user defined GL catagery 4,,Y,Y,,,,,,,,
,test_ledger,GL map,map_ledger,lvl5_cat,level 5 category,,varchar,,200,,user defined GL catagery 5,,Y,Y,,,,,,,,
,test_ledger,GL map,map_acct_rollup,bu,business unit,,,,,,business unit,,,,,,Y,map_bu,bu,PROTECT,Y,
,test_ledger,GL map,map_acct_rollup,ledger,ledger,,,,,,ledger book,,,,,,Y,map_ledger,ledger,PROTECT,Y,
,test_ledger,GL map,map_acct_rollup,acct,GL account,,integer,1000,9999,,GL account code,,,,Y,,Y,,,,,
,test_ledger,GL map,map_acct_rollup,descr,description,,varchar,,200,,description of the GL account,,Y,Y,,,Y,,,,,
,test_ledger,GL map,map_acct_rollup,statement,financial statement,,varchar,,100,,user defined GL catagery 1,,Y,Y,,"balancesheet, income statement",Y,,,,,
,test_ledger,GL map,map_acct_rollup,lvl2_cat,level 2 category,,varchar,,100,,user defined GL catagery 2,,Y,Y,,,Y,,,,,
,test_ledger,GL map,map_acct_rollup,lvl3_cat,level 3 category,,varchar,,100,,user defined GL catagery 3,,Y,Y,,,Y,,,,,
,test_ledger,GL map,map_acct_rollup,lvl4_cat,level 4 category,,varchar,,100,,user defined GL catagery 4,,Y,Y,,,Y,,,,,
,test_ledger,GL map,map_acct_rollup,acct_owner,account owner,,varchar,,100,,owner of account,,Y,Y,,,Y,,,,,
,test_ledger,GL map,map_acct_rollup,lu_date,last update date,,date,,,,last update date,auto now,Y,Y,,,,,,,,
,test_ledger,GL map,map_acct_rollup,lu_user,last update user,,varchar,,50,,last update person,,Y,Y,,,,,,,,
,test_ledger,GL map,map_acct_rollup,lvl1_cat,,,,,,,,,,,,,,,,,,
,test_ledger,GL map,map_acct_rollup,purpose,purpose,,varchar,,200,,purpose of the account,,Y,Y,,,Y,,,,,
,ledger,account,account_info,identifier,account identifier,,varchar,,50,,account identifier,,,,Y,,Y,,,,,
,ledger,account,account_info,number,account number,,varchar,,50,,account number,,,,,,Y,,,,,
,ledger,account,account_info,company,company,companies,varchar,,50,,account company,,,,,,Y,,,,,
,ledger,account,account_info,owner,owner,,varchar,,50,,account owner,Awai,,,,,Y,,,,,
,ledger,account,account_info,country,country,countries,varchar,,50,,account opening country,Singapore,,,,,Y,,,,,
,ledger,account,account_info,type,type,,varchar,,50,,account type,,,,,,Y,,,,,
,ledger,account,account_info,status,status,status,varchar,,50,,account status,active,,,,,Y,,,,,
,ledger,account,account_info,currency,currency,currency,varchar,,10,,account currency,SGD,,,,,Y,,,,,
,ledger,account,account_info,amount,account balance,,float,,999999,2,account balance amount,0,Y,Y,,,Y,,,,,
,ledger,account,account_info,remark,remark,,varchar,,100,,remark,,Y,Y,,,Y,,,,,
add,ledger,cashflow,cashflow,year,,,integer,,,,year of record,,,,,,Y,,,,,
add,ledger,cashflow,cashflow,month,,,integer,,,,month of record,,,,,,Y,,,,,
add,ledger,cashflow,cashflow,salary,,,float,,999999,2,salary of the month,,Y,Y,,,Y,,,,,
add,ledger,cashflow,cashflow,rental,,,float,,999999,2,rental of the month,,Y,Y,,,Y,,,,,
add,ledger,cashflow,cashflow,phone,4G contract,,float,,999999,2,phone contract of the month,,Y,Y,,,Y,,,,,
add,ledger,cashflow,cashflow,dividendcard,Citi Dividend Card,,float,,999999,2,Citi credi card of the month,,Y,Y,,,Y,,,,,
add,ledger,cashflow,cashflow,saving,,,float,,999999,2,saving of the month,,Y,Y,,,Y,,,,,
