action,project,model file name,table name,column name,verbose name,verbose name plural,data type,min length,max length,decimal place,path,definition,default value,nullable,blank,unique key,choice options,model form,foreign key table,foreign key column,foreign key on delete,auto save foreign key,remark
add,ledger,stock,stock_company,ticker,ticker,,varchar,,100,,,,,Y,Y,Y,,,,,,,
add,ledger,stock,stock_company,company,company,,varchar,,100,,,,,Y,Y,Y,,,,,,,
add,ledger,stock,stock_company,exchange,exchange,,varchar,,100,,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_company,country,country,,varchar,,100,,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_dimension ,dim,dimension,,varchar,,100,,,,,,,Y,,Y,,,,,
add,ledger,stock,stock_dimension ,descr,description,,varchar,,500,,,,,Y,Y,,,Y,,,,,
add,ledger,stock,stock_dimension ,src,source,,varchar,,100,,,,,Y,Y,,,Y,,,,,
add,ledger,stock,stock_dimension ,data_type,data_type,,varchar,,100,,,,,Y,Y,,,Y,,,,,
add,ledger,stock,stock_dimension ,101_alphas_type,101_formulaic_alphas_type,,varchar,,100,,,,,Y,Y,,,Y,,,,,
add,ledger,stock,stock_dimension ,101_alphas_num,101_formulaic_alphas_num,,varchar,,100,,,,,Y,Y,,,Y,,,,,
add,ledger,stock,stock_dimension ,remark,remark,,varchar,,100,,,,,Y,Y,,,Y,,,,,
add,ledger,stock,stock_value,date,date,,date,,,,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_value,open,open price,,float,,99999,2,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_value,high,high,,float,,99999,2,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_value,low,low,,float,,99999,2,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_value,close,close price,,float,,99999,2,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_value,volume,valume,,integer,0,99999999,,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_value,adj_close,adjusted close price,,float,,99999,2,,,,Y,Y,,,,,,,,
add,ledger,stock,stock_value,ticker,ticker,,varchar,,10,,,,,Y,Y,,,,stock_company,ticker,PROTECT,,
add,ledger,stock,stock_value,alpha_6,alpha 6,,float,,99999,2,,"-1*correlation(open,volume,10)",,Y,Y,,,,,,,,
